mode: set
t1/hashaddress.go:11.44,11.63 1 1
t1/hashaddress.go:12.44,12.64 1 1
t1/hashaddress.go:13.44,13.69 1 1
t1/hashaddress.go:14.44,14.67 1 1
t1/hashaddress.go:22.24,25.24 3 1
t1/hashaddress.go:25.24,27.3 1 1
t1/hashaddress.go:28.2,28.10 1 1
t1/hashaddress.go:31.29,36.27 5 1
t1/hashaddress.go:36.27,38.3 1 1
t1/hashaddress.go:39.2,40.35 2 1
t1/hashaddress.go:40.35,41.53 1 1
t1/hashaddress.go:41.53,43.4 1 1
t1/hashaddress.go:47.59,49.24 2 1
t1/hashaddress.go:49.24,51.3 1 1
t1/hashaddress.go:52.2,52.24 1 1
t1/hashaddress.go:55.54,56.55 1 1
t1/hashaddress.go:56.55,60.3 3 1
t1/hashaddress.go:61.2,64.63 4 1
t1/hashaddress.go:64.63,65.34 1 1
t1/hashaddress.go:65.34,68.4 2 1
t1/hashaddress.go:69.3,71.25 3 1
t1/hashaddress.go:71.25,74.4 2 0
t1/hashaddress.go:76.2,80.13 5 1
t1/hashaddress.go:83.49,87.24 4 1
t1/hashaddress.go:87.24,88.62 1 1
t1/hashaddress.go:88.62,90.4 1 1
t1/hashaddress.go:91.3,91.63 1 1
t1/hashaddress.go:91.63,92.35 1 1
t1/hashaddress.go:92.35,94.5 1 1
t1/hashaddress.go:96.3,97.37 2 1
t1/hashaddress.go:99.2,99.11 1 0
t1/hashaddress.go:102.47,106.24 4 1
t1/hashaddress.go:106.24,107.62 1 1
t1/hashaddress.go:107.62,110.4 2 1
t1/hashaddress.go:111.3,111.63 1 1
t1/hashaddress.go:111.63,112.35 1 1
t1/hashaddress.go:112.35,117.5 4 1
t1/hashaddress.go:119.3,120.37 2 0
t1/hashaddress.go:122.2,122.62 1 0
t1/hashaddress.go:125.38,127.37 2 1
t1/hashaddress.go:127.37,129.27 2 1
t1/hashaddress.go:129.27,130.30 1 1
t1/hashaddress.go:130.30,132.5 1 0
t1/hashaddress.go:132.10,134.5 1 1
t1/hashaddress.go:135.9,137.30 2 1
t1/hashaddress.go:137.30,139.5 1 1
t1/hashaddress.go:141.3,141.16 1 1
t1/hashaddress.go:145.46,145.70 1 1
t1/hashaddress.go:146.46,146.66 1 1
t1/hashaddress.go:147.46,147.66 1 1
t1/hashchain.go:11.45,13.2 1 1
t1/hashchain.go:15.43,15.62 1 1
t1/hashchain.go:16.43,16.63 1 1
t1/hashchain.go:17.43,17.63 1 1
t1/hashchain.go:25.22,31.2 1 1
t1/hashchain.go:33.58,35.24 2 1
t1/hashchain.go:35.24,37.3 1 1
t1/hashchain.go:38.2,38.24 1 1
t1/hashchain.go:41.52,45.21 4 1
t1/hashchain.go:45.21,46.25 1 1
t1/hashchain.go:46.25,49.4 2 1
t1/hashchain.go:50.3,50.25 1 1
t1/hashchain.go:52.2,55.29 4 1
t1/hashchain.go:55.29,57.3 1 1
t1/hashchain.go:58.2,59.13 2 1
t1/hashchain.go:62.47,65.21 3 1
t1/hashchain.go:65.21,66.25 1 1
t1/hashchain.go:66.25,68.4 1 1
t1/hashchain.go:69.3,69.25 1 1
t1/hashchain.go:71.2,71.11 1 1
t1/hashchain.go:74.45,77.20 3 1
t1/hashchain.go:77.20,78.24 1 1
t1/hashchain.go:78.24,79.26 1 1
t1/hashchain.go:79.26,81.5 1 1
t1/hashchain.go:81.10,83.5 1 1
t1/hashchain.go:84.4,84.26 1 1
t1/hashchain.go:84.26,86.5 1 0
t1/hashchain.go:87.4,88.10 2 1
t1/hashchain.go:90.3,90.23 1 1
t1/hashchain.go:94.36,96.37 2 1
t1/hashchain.go:96.37,99.21 3 1
t1/hashchain.go:99.21,101.4 1 1
t1/hashchain.go:101.9,102.23 1 1
t1/hashchain.go:102.23,104.28 2 1
t1/hashchain.go:104.28,106.6 1 0
t1/hashchain.go:107.5,107.27 1 1
t1/hashchain.go:110.3,110.16 1 1
t1/hashchain.go:114.43,114.67 1 0
t1/hashchain.go:115.43,115.63 1 1
t1/hashchain.go:116.42,116.62 1 0
t1/main.go:3.14,5.2 0 0
t1/massiv.go:10.24,16.2 1 1
t1/massiv.go:18.45,19.32 1 1
t1/massiv.go:19.32,24.3 4 1
t1/massiv.go:25.2,26.13 2 1
t1/massiv.go:29.57,30.32 1 1
t1/massiv.go:30.32,32.3 1 1
t1/massiv.go:33.2,33.32 1 1
t1/massiv.go:33.32,38.3 4 1
t1/massiv.go:39.2,39.35 1 1
t1/massiv.go:39.35,41.3 1 1
t1/massiv.go:42.2,43.13 2 1
t1/massiv.go:46.52,47.33 1 1
t1/massiv.go:47.33,49.3 1 1
t1/massiv.go:50.2,50.23 1 1
t1/massiv.go:53.45,54.33 1 1
t1/massiv.go:54.33,56.3 1 1
t1/massiv.go:57.2,57.39 1 1
t1/massiv.go:57.39,59.3 1 1
t1/massiv.go:60.2,60.13 1 1
t1/massiv.go:63.60,64.33 1 1
t1/massiv.go:64.33,66.3 1 1
t1/massiv.go:67.2,67.22 1 1
t1/massiv.go:70.39,72.2 1 1
t1/massiv.go:74.33,75.33 1 1
t1/massiv.go:75.33,77.3 1 1
t1/massiv.go:78.2,78.15 1 1
t1/massiv.go:81.34,81.54 1 1
t1/onelinkedlist.go:9.53,11.2 1 1
t1/onelinkedlist.go:13.44,15.22 2 1
t1/onelinkedlist.go:15.22,19.3 3 1
t1/onelinkedlist.go:20.2,21.18 2 1
t1/onelinkedlist.go:24.34,25.22 1 1
t1/onelinkedlist.go:25.22,25.32 1 1
t1/onelinkedlist.go:26.2,27.22 2 1
t1/onelinkedlist.go:27.22,29.3 1 1
t1/onelinkedlist.go:32.33,33.22 1 1
t1/onelinkedlist.go:33.22,35.3 1 1
t1/onelinkedlist.go:36.2,36.28 1 1
t1/onelinkedlist.go:36.28,39.3 2 1
t1/onelinkedlist.go:40.2,41.29 2 1
t1/onelinkedlist.go:41.29,43.3 1 1
t1/onelinkedlist.go:44.2,45.22 2 1
t1/onelinkedlist.go:48.35,50.18 2 1
t1/onelinkedlist.go:50.18,53.3 2 1
t1/onelinkedlist.go:54.2,54.15 1 1
t1/onelinkedlist.go:57.45,59.22 2 1
t1/onelinkedlist.go:59.22,63.3 3 1
t1/onelinkedlist.go:64.2,65.18 2 1
t1/onelinkedlist.go:68.62,69.15 1 1
t1/onelinkedlist.go:69.15,69.25 1 1
t1/onelinkedlist.go:70.2,72.39 3 1
t1/onelinkedlist.go:72.39,74.3 1 1
t1/onelinkedlist.go:75.2,75.17 1 1
t1/onelinkedlist.go:75.17,75.27 1 1
t1/onelinkedlist.go:76.2,79.23 4 1
t1/onelinkedlist.go:79.23,81.3 1 1
t1/onelinkedlist.go:84.63,85.16 1 1
t1/onelinkedlist.go:85.16,88.3 2 1
